Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9066,109013607,210,6118
justinbieber,Justin Bieber,30611,105776931,315329,3445
BarackObama,Barack Obama,15506,101256645,623741,11
Taylorswift13,Taylor Swift,88,85578645,0,441
rihanna,Rihanna,10075,86744838,1115,1022
youtube,YouTube,22176,71519951,1028,2060
theellenshow,Ellen DeGeneres,16389,77363333,35876,879
ladygaga,Lady Gaga,8713,77674648,127762,1891
twitter,Twitter,6678,62620232,145,5553
jtimberlake,Justin Timberlake,3891,65535467,264,97
britneyspears,Britney Spears,5421,57426105,387605,2563
cristiano,Cristiano Ronaldo,3145,71392733,95,0
kimkardashian,Kim Kardashian West,26347,59334211,134,16
selenagomez,Selena Gomez,4340,56151812,1251,168
cnnbrk,CNN Breaking News,60676,54540385,121,18
jimmyfallon,jimmy fallon,10570,50789181,7907,81
arianagrande,Ariana Grande,40409,56847667,64475,32456
shakira,Shakira,5326,51596855,209,1237
ddlovato,Demi Lovato,16808,55865820,544,2028
jlo,Jennifer Lopez,12422,45220061,1722,6592
instagram,Instagram,11602,39099341,4,165
oprah,Oprah Winfrey,12429,42212142,290,151
drake,Drizzy,1703,36944962,633,11
kingjames,LeBron James,5796,41142276,182,117
nytimes,The New York Times,314467,41574575,879,16545
billgates,Bill Gates,2625,45214273,183,41
cnn,CNN,176390,39897356,1115,1465
kevinhart4real,Kevin Hart,36091,35133555,554,85
mileycyrus,Miley Ray Cyrus,9396,40281466,392,280
onedirection,One Direction,9896,31780187,3880,298
sportscenter,SportsCenter,102727,35623270,1662,1159
espn,ESPN,95281,34080388,285,107
bbcbreaking,BBC Breaking News,34159,37580342,3,0
harry_styles,Harry Styles.,5420,31968899,2038,80
pink,P!nk,6892,32881021,448,440
liltunechi,Lil Wayne WEEZY F,1833,33925162,48,13
wizkhalifa,Wiz Khalifa,43844,33456466,831,54
niallofficial,Niall Horan,12559,39671529,6085,396
brunomars,Bruno Mars,4244,41949198,108,250
adele,Adele,302,28997444,0,0
narendramodi,Narendra Modi,18633,41444138,1936,0
neymarjr,Neymar Jr,41166,38856530,746,817
kaka,Kaka,4933,30157585,355,96
actuallynph,Neil Patrick Harris,2866,27626305,126,193
realdonaldtrump,Donald J. Trump,37190,49621177,45,24
danieltosh,daniel tosh,13696,27334133,132,2
srbachchan,Amitabh Bachchan,61927,33749409,1825,62
aliciakeys,Alicia Keys,7479,30845599,694,352
nba,NBA,194297,27474051,1680,279
