Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,7835,96241920,203,4270
justinbieber,Justin Bieber,30651,92204139,302316,3416
BarackObama,Barack Obama,15439,85543434,630993,10
Taylorswift13,Taylor Swift,4161,83657595,244,2103
rihanna,Rihanna,9903,70058845,1134,989
youtube,YouTube,19113,67016970,997,1590
theellenshow,Ellen DeGeneres,13860,65992456,36157,406
ladygaga,"xoxo, Joanne",8278,65521763,129792,1415
twitter,Twitter,4244,60317511,161,3830
jtimberlake,Justin Timberlake,3588,58259928,233,40
britneyspears,Britney Spears,5121,51220328,392261,2359
cristiano,Cristiano Ronaldo,2821,50436293,95,0
kimkardashian,Kim Kardashian West,22693,50363159,108,0
selenagomez,Selena Gomez,4200,46433165,1273,135
cnnbrk,CNN Breaking News,54191,46476461,122,18
jimmyfallon,jimmy fallon,9600,44985740,7451,24
arianagrande,Ariana Grande,39958,44312611,66144,31951
shakira,Shakira,4530,43364645,193,515
ddlovato,Demi Lovato,15601,41411861,463,1123
jlo,Jennifer Lopez,10425,40259619,1734,6363
instagram,Instagram,10355,39976935,4,124
oprah,Oprah Winfrey,11904,35891131,277,147
drake,Drizzy,1711,34510897,637,12
kingjames,LeBron James,5281,34408168,166,76
nytimes,The New York Times,269427,34249900,909,14304
billgates,Bill Gates,2285,33711998,183,18
cnn,CNN,121268,32406535,1120,1459
kevinhart4real,Kevin Hart,32401,32096532,547,51
mileycyrus,Miley Ray Cyrus,8453,31904531,373,82
onedirection,One Direction,9926,31622111,3963,308
sportscenter,SportsCenter,92347,31338352,1676,1145
espn,ESPN,85805,30751216,301,88
bbcbreaking,BBC Breaking News,31418,30098461,3,0
harry_styles,Harry Styles.,5345,29786721,2018,33
pink,P!nk,6221,29266627,428,350
liltunechi,Lil Wayne WEEZY F,1598,29259801,44,12
wizkhalifa,Wiz Khalifa,42951,28903173,800,43
niallofficial,Niall Horan,11338,28626911,5892,215
brunomars,Bruno Mars,3781,28231995,112,91
adele,Adele,286,27841397,157,0
narendramodi,Narendra Modi,14280,27727448,1639,0
neymarjr,Neymar Jr,40904,27545292,747,778
kanyewest,KANYE WEST,991,27158406,1,1
kaka,Kaka,4643,26307805,354,26
actuallynph,Neil Patrick Harris,2649,26230775,90,177
realdonaldtrump,Donald J. Trump,34588,26258753,43,46
danieltosh,daniel tosh,13310,25721538,130,1
srbachchan,Amitabh Bachchan,55997,25348736,1141,56
aliciakeys,Alicia Keys,6973,25213260,671,177
nba,NBA,159500,24453185,1602,245
