Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8734,106305402,204,5817
justinbieber,Justin Bieber,30648,103305486,315534,3449
BarackObama,Barack Obama,15479,96802369,626652,10
Taylorswift13,Taylor Swift,60,85619088,0,102
rihanna,Rihanna,10033,82223645,1131,1023
youtube,YouTube,21121,70416222,1029,1674
theellenshow,Ellen DeGeneres,15305,75384889,35985,576
ladygaga,Lady Gaga,8587,73555400,128607,1685
twitter,Twitter,6270,62114357,170,5210
jtimberlake,Justin Timberlake,3691,63543262,254,48
britneyspears,Britney Spears,5322,55994609,389444,2461
cristiano,Cristiano Ronaldo,3041,63718503,96,0
kimkardashian,Kim Kardashian West,24888,56998530,127,1
selenagomez,Selena Gomez,4331,54524353,1263,167
cnnbrk,CNN Breaking News,58804,53435045,120,18
jimmyfallon,jimmy fallon,10220,49689927,7753,49
arianagrande,Ariana Grande,40402,55230577,65185,32624
shakira,Shakira,5233,49175672,209,1232
ddlovato,Demi Lovato,16468,51594803,548,1892
jlo,Jennifer Lopez,12307,44036361,1734,6586
instagram,Instagram,11272,39444979,4,152
oprah,Oprah Winfrey,12328,39856583,288,149
drake,Drizzy,1712,36427273,634,11
kingjames,LeBron James,5553,39527415,176,83
nytimes,The New York Times,299021,40150150,885,15799
billgates,Bill Gates,2514,40926906,184,33
cnn,CNN,157407,38409606,1115,1478
kevinhart4real,Kevin Hart,34752,34983756,555,83
mileycyrus,Miley Ray Cyrus,9001,37659423,376,202
onedirection,One Direction,9908,31787960,3920,303
sportscenter,SportsCenter,99894,35105045,1661,1158
espn,ESPN,92467,33760687,285,95
bbcbreaking,BBC Breaking News,33420,35821824,3,0
harry_styles,Harry Styles.,5395,31335006,2045,76
pink,P!nk,6736,31120232,447,405
liltunechi,Lil Wayne WEEZY F,1739,32077303,48,13
wizkhalifa,Wiz Khalifa,43669,32505389,835,51
niallofficial,Niall Horan,12299,36142777,5974,362
brunomars,Bruno Mars,4063,37300904,109,177
adele,Adele,298,28827342,157,0
narendramodi,Narendra Modi,17248,36698574,1855,0
neymarjr,Neymar Jr,41083,34962344,747,809
kanyewest,,,,,
kaka,Kaka,4788,28819756,354,75
actuallynph,Neil Patrick Harris,2779,27608837,117,176
realdonaldtrump,Donald J. Trump,36378,42653100,45,23
danieltosh,daniel tosh,13618,27517903,131,2
srbachchan,Amitabh Bachchan,59829,31075037,1157,60
aliciakeys,Alicia Keys,7284,29401580,689,219
nba,NBA,177568,26840541,1671,246
