Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9067,109029029,210,6116
justinbieber,Justin Bieber,30611,105793744,315345,3445
BarackObama,Barack Obama,15506,101283200,623707,11
Taylorswift13,Taylor Swift,89,85576069,0,446
rihanna,Rihanna,10076,86761348,1115,1022
youtube,YouTube,22182,71545557,1028,2060
theellenshow,Ellen DeGeneres,16391,77377987,35881,879
ladygaga,Lady Gaga,8715,77684288,127757,1894
twitter,Twitter,6678,62610729,145,5553
jtimberlake,Justin Timberlake,3892,65543895,264,102
britneyspears,Britney Spears,5421,57444772,387589,2562
cristiano,Cristiano Ronaldo,3145,71437793,95,0
kimkardashian,Kim Kardashian West,26355,59344009,134,16
selenagomez,Selena Gomez,4341,56162624,1253,170
cnnbrk,CNN Breaking News,60694,54551863,121,18
jimmyfallon,jimmy fallon,10570,50798259,7908,81
arianagrande,Ariana Grande,40409,56844134,64476,32455
shakira,Shakira,5327,51615790,209,1237
ddlovato,Demi Lovato,16812,55898400,544,2029
jlo,Jennifer Lopez,12422,45232970,1722,6590
instagram,Instagram,11603,39097046,4,165
oprah,Oprah Winfrey,12429,42225860,290,151
drake,Drizzy,1703,36949644,633,11
kingjames,LeBron James,5799,41153697,182,117
nytimes,The New York Times,314579,41586402,879,16548
billgates,Bill Gates,2626,45243492,183,41
cnn,CNN,176569,39909120,1116,1464
kevinhart4real,Kevin Hart,36095,35135305,554,85
mileycyrus,Miley Ray Cyrus,9396,40305556,392,280
onedirection,One Direction,9896,31777038,3880,298
sportscenter,SportsCenter,102756,35626837,1662,1159
espn,ESPN,95313,34083740,285,107
bbcbreaking,BBC Breaking News,34169,37601202,3,0
harry_styles,Harry Styles.,5420,31982589,2039,80
pink,P!nk,6894,32887061,448,441
liltunechi,Lil Wayne WEEZY F,1833,33941253,48,13
wizkhalifa,Wiz Khalifa,43844,33473728,831,54
niallofficial,Niall Horan,12559,39689904,6086,396
brunomars,Bruno Mars,4245,41974256,108,251
adele,Adele,302,28997092,0,0
narendramodi,Narendra Modi,18640,41479893,1936,0
neymarjr,Neymar Jr,41166,38868945,746,817
kaka,Kaka,4933,30159412,355,96
actuallynph,Neil Patrick Harris,2866,27626907,126,193
realdonaldtrump,Donald J. Trump,37197,49667319,45,24
danieltosh,daniel tosh,13695,27333445,132,2
srbachchan,Amitabh Bachchan,61933,33770807,1833,62
aliciakeys,Alicia Keys,7481,30851025,694,352
nba,NBA,194415,27477845,1680,278
