Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9066,109013659,210,6118
justinbieber,Justin Bieber,30611,105776569,315332,3445
BarackObama,Barack Obama,15506,101256761,623741,11
Taylorswift13,Taylor Swift,88,85578657,0,441
rihanna,Rihanna,10075,86744905,1115,1022
youtube,YouTube,22176,71520074,1028,2060
theellenshow,Ellen DeGeneres,16389,77363392,35876,879
ladygaga,Lady Gaga,8713,77674682,127762,1891
twitter,Twitter,6678,62620255,145,5553
jtimberlake,Justin Timberlake,3891,65535156,264,97
britneyspears,Britney Spears,5421,57426181,387605,2563
cristiano,Cristiano Ronaldo,3145,71392900,95,0
kimkardashian,Kim Kardashian West,26347,59334250,134,16
selenagomez,Selena Gomez,4340,56151857,1251,168
cnnbrk,CNN Breaking News,60676,54540427,121,18
jimmyfallon,jimmy fallon,10570,50789223,7907,81
arianagrande,Ariana Grande,40409,56847667,64475,32456
shakira,Shakira,5326,51596925,209,1237
ddlovato,Demi Lovato,16808,55865931,544,2028
jlo,Jennifer Lopez,12422,45220110,1722,6592
instagram,Instagram,11602,39099338,4,165
oprah,Oprah Winfrey,12429,42212180,290,151
drake,Drizzy,1703,36944970,633,11
kingjames,LeBron James,5796,41142317,182,117
nytimes,The New York Times,314467,41574631,879,16545
billgates,Bill Gates,2625,45214387,183,41
cnn,CNN,176390,39897406,1115,1465
kevinhart4real,Kevin Hart,36091,35133567,554,85
mileycyrus,Miley Ray Cyrus,9396,40281545,392,280
onedirection,One Direction,9896,31780189,3880,298
sportscenter,SportsCenter,102727,35623279,1662,1159
espn,ESPN,95281,34080403,285,107
bbcbreaking,BBC Breaking News,34159,37580425,3,0
harry_styles,Harry Styles.,5420,31968945,2038,80
pink,P!nk,6892,32881048,448,440
liltunechi,Lil Wayne WEEZY F,1833,33925219,48,13
wizkhalifa,Wiz Khalifa,43844,33456528,831,54
niallofficial,Niall Horan,12559,39671620,6085,396
brunomars,Bruno Mars,4244,41949300,108,250
adele,Adele,302,28997455,0,0
narendramodi,Narendra Modi,18633,41443515,1936,0
neymarjr,Neymar Jr,41166,38856573,746,817
kaka,Kaka,4933,30157599,355,96
actuallynph,Neil Patrick Harris,2866,27626309,126,193
realdonaldtrump,Donald J. Trump,37190,49621352,45,24
danieltosh,daniel tosh,13696,27334130,132,2
srbachchan,Amitabh Bachchan,61927,33749497,1825,62
aliciakeys,Alicia Keys,7479,30845622,694,352
nba,NBA,194297,27474061,1680,279
