Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8593,101241907,204,5601
justinbieber,Justin Bieber,30658,98569916,304464,3428
BarackObama,Barack Obama,15451,92202146,628906,10
Taylorswift13,Taylor Swift,4142,85443742,245,2096
rihanna,Rihanna,9927,75510534,1129,1000
youtube,YouTube,20312,69203457,1017,1654
theellenshow,Ellen DeGeneres,14522,70822841,36069,449
ladygaga,"xoxo, Gaga",8341,67691517,129183,1412
twitter,Twitter,5632,61358144,166,5040
jtimberlake,Justin Timberlake,3632,61571337,238,41
britneyspears,Britney Spears,5209,55140262,391028,2346
cristiano,Cristiano Ronaldo,2936,55236051,96,0
kimkardashian,Kim Kardashian West,23760,54295409,109,5
selenagomez,Selena Gomez,4242,49408868,1267,164
cnnbrk,CNN Breaking News,56961,51643140,121,18
jimmyfallon,jimmy fallon,9933,48432465,7608,31
arianagrande,Ariana Grande,40234,49168181,65644,32276
shakira,Shakira,5077,46142633,204,1207
ddlovato,Demi Lovato,15890,45813679,547,1547
jlo,Jennifer Lopez,11885,41871768,1739,6482
instagram,Instagram,10903,39711955,4,137
oprah,Oprah Winfrey,12103,37717549,281,147
drake,Drizzy,1712,36248605,637,12
kingjames,LeBron James,5373,37158769,169,76
nytimes,The New York Times,285479,38695993,889,15181
billgates,Bill Gates,2427,36467150,183,20
cnn,CNN,141032,36748883,1117,1469
kevinhart4real,Kevin Hart,33572,34453974,551,66
mileycyrus,Miley Ray Cyrus,8633,34398675,372,81
onedirection,One Direction,9915,31943259,3937,306
sportscenter,SportsCenter,97405,34137482,1663,1157
espn,ESPN,90092,33285266,284,93
bbcbreaking,BBC Breaking News,32674,33699167,3,0
harry_styles,Harry Styles.,5377,30908153,2042,62
pink,P!nk,6312,29726797,435,356
liltunechi,Lil Wayne WEEZY F,1695,30904353,46,12
wizkhalifa,Wiz Khalifa,43400,30711119,821,50
niallofficial,Niall Horan,11804,31422589,5948,249
brunomars,Bruno Mars,3924,31742965,107,103
adele,Adele,293,28521571,157,0
narendramodi,Narendra Modi,15944,31929015,1770,0
neymarjr,Neymar Jr,40999,30524247,746,789
kanyewest,,,,,
kaka,Kaka,4692,27473991,354,71
actuallynph,Neil Patrick Harris,2727,27073262,111,178
realdonaldtrump,Donald J. Trump,35353,34415280,46,14
danieltosh,daniel tosh,13523,27347581,130,1
srbachchan,Amitabh Bachchan,58338,28015274,1155,57
aliciakeys,Alicia Keys,7212,26933301,690,218
nba,NBA,170791,25994034,1649,232
