Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,8593,101245687,204,5601
justinbieber,Justin Bieber,30658,98572386,304460,3428
BarackObama,Barack Obama,15451,92204861,628903,10
Taylorswift13,Taylor Swift,4142,85443463,245,2096
rihanna,Rihanna,9927,75514086,1129,1000
youtube,YouTube,20313,69204474,1017,1654
theellenshow,Ellen DeGeneres,14522,70825613,36069,449
ladygaga,"xoxo, Gaga",8341,67693214,129183,1412
twitter,Twitter,5638,61359321,166,5041
jtimberlake,Justin Timberlake,3632,61572415,238,41
britneyspears,Britney Spears,5209,55141249,391024,2346
cristiano,Cristiano Ronaldo,2936,55240993,96,0
kimkardashian,Kim Kardashian West,23760,54297522,109,5
selenagomez,Selena Gomez,4242,49414000,1267,164
cnnbrk,CNN Breaking News,56963,51644137,121,18
jimmyfallon,jimmy fallon,9933,48433339,7608,31
arianagrande,Ariana Grande,40234,49172837,65643,32276
shakira,Shakira,5077,46144558,204,1207
ddlovato,Demi Lovato,15890,45817464,547,1547
jlo,Jennifer Lopez,11888,41873297,1739,6488
instagram,Instagram,10903,39711717,4,137
oprah,Oprah Winfrey,12103,37719046,281,147
drake,Drizzy,1712,36248607,637,12
kingjames,LeBron James,5373,37160116,169,76
nytimes,The New York Times,285485,38696967,889,15181
billgates,Bill Gates,2427,36470463,183,20
cnn,CNN,141041,36749905,1117,1469
kevinhart4real,Kevin Hart,33572,34454345,551,66
mileycyrus,Miley Ray Cyrus,8633,34401692,372,81
onedirection,One Direction,9915,31944455,3937,306
sportscenter,SportsCenter,97406,34138167,1663,1157
espn,ESPN,90093,33285666,284,93
bbcbreaking,BBC Breaking News,32675,33700356,3,0
harry_styles,Harry Styles.,5377,30909327,2042,62
pink,P!nk,6312,29727526,435,356
liltunechi,Lil Wayne WEEZY F,1695,30905971,46,12
wizkhalifa,Wiz Khalifa,43400,30712611,821,50
niallofficial,Niall Horan,11804,31426456,5948,249
brunomars,Bruno Mars,3924,31747182,107,103
adele,Adele,293,28521888,157,0
narendramodi,Narendra Modi,15946,31932413,1770,0
neymarjr,Neymar Jr,40999,30526645,746,789
kanyewest,,,,,
kaka,Kaka,4692,27474865,354,71
actuallynph,Neil Patrick Harris,2727,27074672,111,178
realdonaldtrump,Donald J. Trump,35353,34420029,46,14
danieltosh,daniel tosh,13523,27347846,130,1
srbachchan,Amitabh Bachchan,58338,28017301,1155,57
aliciakeys,Alicia Keys,7212,26934712,690,218
nba,NBA,170795,25994717,1649,232
