file_id,genus,species,english_cname,who_provided_recording,country,latitude,longitute,type,license
132608,Acanthis,flammea,Common Redpoll,Jarek Matusiak,Poland,50.7932,15.4995,"female, male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/
132611,Acanthis,flammea,Common Redpoll,Jarek Matusiak,Poland,50.7932,15.4995,"flight call, male, song",http://creativecommons.org/licenses/by-nc-sa/3.0/
35068,Acanthis,flammea,Common Redpoll,Sander Bot,Netherlands,52.8176,6.4326,"call, song",http://creativecommons.org/licenses/by-nc-nd/2.5/
82715,Acrocephalus,palustris,Marsh Warbler,Dougie Preston,United Kingdom,60.3539,-1.2689,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
64685,Acrocephalus,palustris,Marsh Warbler,Dougie Preston,United Kingdom,60.3539,-1.2689,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
64686,Acrocephalus,palustris,Marsh Warbler,Dougie Preston,United Kingdom,60.3539,-1.2689,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
120664,Acrocephalus,schoenobaenus,Sedge Warbler,david m,United Kingdom,56.586,-6.1855,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
120666,Acrocephalus,schoenobaenus,Sedge Warbler,david m,United Kingdom,56.586,-6.1855,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
76767,Acrocephalus,schoenobaenus,Sedge Warbler,Richard Dunn,United Kingdom,55.2809,-1.5801,song,http://creativecommons.org/licenses/by-nc-nd/2.5/
124052,Acrocephalus,scirpaceus,Eurasian Reed Warbler,david m,United Kingdom,51.8985,-0.5372,"call, female, male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
124053,Acrocephalus,scirpaceus,Eurasian Reed Warbler,david m,United Kingdom,51.8985,-0.5372,"call, female, male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
27999,Acrocephalus,scirpaceus,Eurasian Reed Warbler,Stuart Fisher,United Kingdom,51.2887,-0.5267,Song,http://creativecommons.org/licenses/by-nc-nd/2.5/
113082,Aegithalos,caudatus,Long-tailed Tit,Timo Roeke,Netherlands,52.2766,6.7271,alarm call,http://creativecommons.org/licenses/by-nc-sa/3.0/
101371,Aegithalos,caudatus,Long-tailed Tit,Krzysiek Deoniziak,Poland,52.272,16.797,call,http://creativecommons.org/licenses/by-nc-nd/2.5/
128853,Aegithalos,caudatus,Long-tailed Tit,Alexandre Renaudier,Spain,38.2072,-3.9626,call,http://creativecommons.org/licenses/by-nc-sa/3.0/
123169,Alauda,arvensis,Eurasian Skylark,david m,United Kingdom,54.128,-0.5574,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
123170,Alauda,arvensis,Eurasian Skylark,david m,United Kingdom,54.128,-0.5574,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
158166,Alauda,arvensis,Eurasian Skylark,david m,United Kingdom,54.127,-0.556,"male, song",http://creativecommons.org/licenses/by-nc-nd/3.0/
