author,word1,word2,source
743,prim,proper,CC
727,squirrels,birdsi put out food for the birds,CC
728,admiral byrd,admiral nelson,CC
728,whiskey,irish,CC
736,men,women,CC
730,me up scotty,teleport,CC
742,less,more,CC
743,emotions,feelings,CC
727,genocide,murder,CC
736,pair,au,CC
743,david letterman,talk show,CC
755,congo,bill,CC
728,pastry,madeleine,CC
727,blue,bird,CC
743,goddamn,yankees,CC
723,hall,lecture,CC
737,cycle,uni,CC
727,csi,forensic,CC
724,furniture,move,CC
743,insane,asylum,CC
743,venture bros,cartoon,CC
746,sad,melacholy,CC
727,cell phones,android,CC
743,circle k,kwiki mart,CC
730,goods,services,CC
736,grilled,steak,CC
743,nun,convent,CC
743,plug,bath,CC
730,shop assistants,clerks,CC
727,bacon,eggs,CC
724,california,burbank,CC
743,breaker,wave,CC
729,tree,groot,CC
742,peach,juice,CC
743,marv,sin city,CC
743,lobby,foyer,CC
727,homeopathy,medicine,CC
737,centigrade,centipede,CC
730,marsh,swampy,CC
730,approval,acceptance,CC
727,slope,ski,CC
734,seal,circus,CC
730,game show,contestant,CC
723,aeroplane,wright brothers,CC
736,building,construction,CC
727,outer,limits,CC
746,radius,diameter,CC
743,dolmen,tomb,CC
730,admiral,adama,CC
730,soccer,balls,CC
730,rum,pirates,CC
731,krakoa,skellig,CC
743,donna,kebab,CC
731,promise,broken,CC
727,barry,white,CC
723,porcupine,ouch,CC
724,eliminate,obliterate,CC
736,cares,cares me down,CC
746,mad,what me worry,CC
724,stock,capital,CC
736,doctor,strange,CC
730,disaster,earthquake,CC
728,onions,tears,CC
724,steel,shaquille,CC
730,gable,green,CC
743,endorsement,sponsor,CC
723,hockey,field,CC
736,sour,sweet,CC
728,spades,trench,CC
730,rage,machine,CC
723,greenstreet,mean streets,CC
724,undead,spectre,CC
743,battling jack,murdoch,CC
736,song,lyrics,CC
750,face,a-team,CC
728,pi,life,CC
736,religion,creed,CC
727,protest,march,CC
743,stars,sidereal,CC
743,living,blind,CC
737,carrousel,runner,CC
738,stickman,calling card,CC
738,fool,john di,CC
736,silicium,organic,CC
746,swan,dive,CC
736,headphones,cell phones,CC
743,shoe,boot,CC
743,quiz,show,CC
730,manson,shirley,CC
748,utah,jazz,CC
743,hashashin,cult,CC
743,duckula,danger mouse,CC
728,scout,knot,CC
743,strings,puppet,CC
730,assassination,attempt,CC
727,gale,storm,CC
724,airplane,jet,CC
728,arc,welder,CC
728,myrmidon,ant,CC
723,nos,gold,CC
736,games,olympics,CC
730,rules,game,CC
723,peg,square,CC
728,power,corruption,CC
743,cat,kitten,CC
738,explosive,hydrogen,CC
727,lucky,thompson,CC
736,geometry,trigonometry,CC
736,victoria,canada,CC
728,clergy,deacon,CC
728,city limits,taxes,CC
737,hitchcock,silhouette,CC
743,air,pump,CC
728,bedrock,magma,CC
742,carbine,infantino,CC
730,art,gallery,CC
727,st,england,CC
728,match,strike,CC
743,helmet,crash,CC
730,wit,humour,CC
728,john wooden,hoop,CC
724,tags,labels,CC
743,glasses,picture,CC
743,thumb,print,CC
746,symphony,silly,CC
736,travelling,vacation,CC
730,program,computer,CC
743,love & rockets,comic,CC
728,many,one,CC
746,crane,shaolin,CC
730,parthenon,ruins,CC
751,bedroom community,lawn,CC
743,memphis,egypt,CC
737,bristol,board,CC
736,dog,puppies,CC
730,boob,window,CC
730,butler,servant,CC
736,prower,sled,CC
743,vanished,absent,CC
743,head,lice,CC
746,goth,sack,CC
724,sheriff,rosco,CC
743,alan,partridge,CC
743,scottish,caledonian,CC
746,copyright,trademark,CC
723,cleopatra,egypt,CC
728,avenue,electric,CC
743,jetson,astro,CC
723,blackbeard,bluebeard,CC
743,sailors,ships,CC
727,orange,juice,CC
743,finger,nail,CC
736,robin,batman,CC
743,lose,defeat,CC
732,vampire,dracula,CC
743,elbow,forearm,CC
743,tuxedo,junction,CC
736,lightning,thunder,CC
736,buffy,vampire slayer,CC
736,time,watch,CC
742,lettuce,salad,CC
730,gaffer,tape,CC
743,profanity,blue,CC
742,safe,home,CC
736,comics,funny pages,CC
723,nugget,niblett,CC
746,toast,town,CC
746,horse,buggy,CC
727,berlin,lou reed,CC
728,oxford,comma,CC
736,ski,water,CC
746,shadows,zamboula,CC
728,man,isle,CC
728,network,social,CC
746,cheese,curd,CC
728,printing,tides,CC
736,cards,playing,CC
743,picnic,ants,CC
743,pythagoras,greek,CC
746,tank,haunted,CC
724,planets,moons,CC
731,male,heir,CC
743,lyrics,music,CC
723,saxophone,blues,CC
734,ballet,tutu,CC
736,mud,pie,CC
743,autumn,march,CC
737,duck,soup,CC
723,coral,water,CC
736,takei,george,CC
743,touching,fondling,CC
743,gainful,increasing,CC
746,games,frontiers,CC
728,belushi,blues,CC
746,barber,seville,CC
723,ring,wedding,CC
743,simon,says,CC
723,frame by frame,shake dog shake,CC
723,anouncer,commentary,CC
742,away,scientology,CC
746,age,bronze,CC
723,baloney,phooey,CC
728,coffin,affair,CC
723,morning,coolbeing the second song on their self-titled lp,CC
746,opener,pathfinder,CC
732,butter,scotch,CC
