best_of,draw_size,loser_age,loser_id,loser_name,loser_rank,loser_rank_points,match_num,round,score,surface,tourney_level,tourney_name,winner_age,winner_id,winner_name,winner_rank,winner_rank_points
3,128,17.85900068,200002,Mirjana Lucic,49.0,640.0,1,R128,6-1 6-2,Hard,G,Australian Open,19.29637235,200001,Martina Hingis,1.0,6003.0
3,128,27.11841205,200004,Kerry Anne Guse,133.0,199.0,2,R128,6-4 6-2,Hard,G,Australian Open,17.62902122,200003,Justine Henin,63.0,510.0
3,128,31.37850787,200005,Jolene Watanabe Giltz,118.0,243.0,3,R128,6-0 6-1,Hard,G,Australian Open,26.45859001,200006,Karina Habsudova,53.0,574.0
3,128,22.00684463,200007,Silvija Talaja,23.0,1112.0,4,R128,6-1 5-7 7-5,Hard,G,Australian Open,18.9705681,200008,Alicia Molik,116.0,245.0
3,128,24.82135524,200010,Rita Grande,60.0,516.0,5,R128,6-3 6-4,Hard,G,Australian Open,22.65023956,200009,Tamarine Tanasugarn,72.0,439.0
3,128,18.85010267,200011,Katarina Srebotnik,66.0,484.0,6,R128,6-4 1-6 6-4,Hard,G,Australian Open,25.60711841,200012,Jana Nejedly,84.0,347.0
3,128,26.74606434,200014,Tzipi Obziler,214.0,97.0,7,R128,6-4 4-6 6-4,Hard,G,Australian Open,26.28884326,200013,Angelica Gavaldon,320.0,52.0
3,128,21.99863107,200015,Petra Mandula,109.0,271.0,8,R128,6-3 4-6 6-3,Hard,G,Australian Open,27.78918549,200016,Sandrine Testud,14.0,1635.0
3,128,23.65776865,200018,Julia Abe,113.0,255.0,9,R128,6-2 6-2,Hard,G,Australian Open,28.08213552,200017,Arantxa Sanchez Vicario,15.0,1558.0
3,128,26.15195072,200019,Alexandra Fusai,177.0,132.0,10,R128,5-7 6-4 6-4,Hard,G,Australian Open,26.436687199999998,200020,Lisa Raymond,28.0,926.0
3,128,29.70841889,200021,Alexia Dechaume Balleret,101.0,296.0,11,R128,6-2 6-0,Hard,G,Australian Open,23.52361396,200022,Emmanuelle Gagliardi,71.0,454.0
3,128,25.65092402,200024,Maria Vento Kabchi,88.0,332.0,12,R128,7-5 6-3,Hard,G,Australian Open,20.10677618,200023,Bryanne Stewart,275.0,68.0
3,128,20.25735797,200025,Ludmila Cervanova,104.0,288.0,13,R128,6-2 6-3,Hard,G,Australian Open,28.59958932,200026,Florencia Labat,121.0,235.0
3,128,28.82683094,200028,Maureen Drake,55.0,551.0,14,R128,6-4 6-2,Hard,G,Australian Open,20.88158795,200027,Magui Serna,46.0,661.0
3,128,25.2183436,200029,Lisa Mcshea,159.0,158.0,15,R128,6-1 6-4,Hard,G,Australian Open,21.79603012,200030,Miroslava Vavrinec,96.0,311.0
3,128,21.99863107,200031,Meilen Tu,110.0,270.0,16,R128,6-2 6-7(1) 6-4,Hard,G,Australian Open,23.85489391,200032,Barbara Schett,9.0,1968.0
3,128,20.81587953,200034,Amanda Grahame,261.0,73.0,17,R128,6-4 4-6 6-4,Hard,G,Australian Open,18.30800821,200033,Serena Williams,4.0,2993.0
3,128,22.19301848,200035,Maria Sanchez Lorenzo,45.0,665.0,18,R128,6-3 6-0,Hard,G,Australian Open,26.86926762,200036,Nicole Pratt,58.0,534.0
3,128,21.95482546,200038,Annabel Ellwood,111.0,267.0,19,R128,6-2 6-2,Hard,G,Australian Open,27.73716632,200037,Sabine Appelmans,31.0,886.0
3,128,23.50444901,200040,Anna Smashnova,48.0,644.0,20,R128,6-3 6-4,Hard,G,Australian Open,23.91238877,200039,Chanda Rubin,22.0,1151.0
3,128,27.32648871,200041,Amy Frazier,19.0,1291.0,21,R128,6-1 6-3,Hard,G,Australian Open,29.40999316,200042,Els Callens,89.0,332.0
3,128,16.684462699999997,200043,Virginie Razzano,344.0,46.0,22,R128,7-6(10) 6-2,Hard,G,Australian Open,20.93908282,200044,Denisa Chladkova,57.0,542.0
