ID,Player,height,weight,college,born,birth_city,birth_state
1,Cliff Barker,188.0,83.0,University of Kentucky,1921.0,Yorktown,Indiana
4,Ralph Beard,178.0,79.0,University of Kentucky,1927.0,Hardinsburg,Kentucky
6,Charlie Black,196.0,90.0,University of Kansas,1921.0,Arco,Idaho
7,Nelson Bobb,183.0,77.0,Temple University,1924.0,Philadelphia,Pennsylvania
8,Jake Bornheimer,196.0,90.0,Muhlenberg College,1927.0,New Brunswick,New Jersey
9,Vince Boryla,196.0,95.0,University of Denver,1927.0,East Chicago,Indiana
10,Don Boven,193.0,95.0,Western Michigan University,1925.0,Kalamazoo,Michigan
11,Harry Boykoff,208.0,102.0,St. John's University,1922.0,Brooklyn,New York
12,Joe Bradley,190.0,79.0,Oklahoma State University,1928.0,Washington,Oklahoma
14,Carl Braun,196.0,81.0,Colgate University,1927.0,Brooklyn,New York
15,Frankie Brian,185.0,81.0,Louisiana State University,1923.0,Zachary,Louisiana
16,Price Brookfield,193.0,83.0,West Texas A&M University,1920.0,Floydada,Texas
17,Bob Brown,193.0,92.0,Miami University,1923.0,Versailles,Ohio
19,Walt Budko,196.0,99.0,Columbia University,1925.0,Kearney,New Jersey
21,Tommy Byrnes,190.0,79.0,Seton Hall University,1923.0,Teaneck,New Jersey
22,Bill Calhoun,190.0,81.0,City College of San Francisco,1927.0,San Francisco,California
23,Don Carlson,183.0,77.0,University of Minnesota,1919.0,Minneapolis,Minnesota
28,Leroy Chollet,188.0,86.0,Canisius College,1925.0,New Orleans,Louisiana
29,Bill Closs,196.0,88.0,Rice University,1922.0,Edge,Texas
31,Jack Coleman,201.0,88.0,University of Louisville,1924.0,Burgin,Kentucky
34,Jack Cotton,201.0,90.0,University of Wyoming,1924.0,Miles City,Montana
35,Dillard Crocker,193.0,92.0,Western Michigan University,1925.0,Coffee County,Tennessee
36,Chink Crossin,185.0,74.0,University of Pennsylvania,1923.0,Luzerne,Pennsylvania
37,Fran Curran,183.0,79.0,University of Notre Dame,1922.0,Sterling,Illinois
39,Bob Davies*,185.0,79.0,Seton Hall University,1920.0,Harrisburg,Pennsylvania
40,Hook Dillon,190.0,81.0,University of North Carolina,1924.0,Savannah,Georgia
43,Bob Doll,196.0,88.0,University of Colorado,1919.0,Steamboat Springs,Colorado
44,Harry Donovan,188.0,81.0,Muhlenberg College,1926.0,Union City,New Jersey
46,Dike Eddleman,190.0,85.0,University of Illinois at Urbana-Champaign,1922.0,Centralia,Illinois
47,Gene Englund,196.0,92.0,University of Wisconsin,1917.0,Kenosha,Wisconsin
48,Bob Evans,188.0,79.0,Butler University,1925.0,Indianapolis,Indiana
49,Johnny Ezersky,190.0,79.0,University of Rhode Island,1922.0,New York,New York
50,Bob Feerick,190.0,86.0,Santa Clara University,1920.0,San Francisco,California
52,Arnie Ferrin,188.0,81.0,University of Utah,1925.0,Salt Lake City,Utah
53,Jerry Fleishman,188.0,86.0,New York University,1922.0,Brooklyn,New York
54,Joe Fulks*,196.0,86.0,Murray State University,1921.0,Birmingham,Kentucky
