ID,Year,Player,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
0,1950.0,Curly Armstrong,G-F,31.0,FTW,63.0,0.368,0.467,-0.1,3.6,3.5,144.0,516.0,0.27899999999999997,144.0,516.0,0.27899999999999997,0.27899999999999997,170.0,241.0,0.705,176.0,217.0,458.0
1,1950.0,Cliff Barker,SG,29.0,INO,49.0,0.435,0.387,1.6,0.6,2.2,102.0,274.0,0.37200000000000005,102.0,274.0,0.37200000000000005,0.37200000000000005,75.0,106.0,0.708,109.0,99.0,279.0
2,1950.0,Leo Barnhorst,SF,25.0,CHS,67.0,0.39399999999999996,0.259,0.9,2.8,3.6,174.0,499.0,0.349,174.0,499.0,0.349,0.349,90.0,129.0,0.698,140.0,192.0,438.0
3,1950.0,Ed Bartels,F,24.0,TOT,15.0,0.312,0.395,-0.5,-0.1,-0.6,22.0,86.0,0.256,22.0,86.0,0.256,0.256,19.0,34.0,0.5589999999999999,20.0,29.0,63.0
4,1950.0,Ed Bartels,F,24.0,DNN,13.0,0.308,0.37799999999999995,-0.5,-0.1,-0.6,21.0,82.0,0.256,21.0,82.0,0.256,0.256,17.0,31.0,0.5479999999999999,20.0,27.0,59.0
5,1950.0,Ed Bartels,F,24.0,NYK,2.0,0.376,0.75,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.25,2.0,3.0,0.667,0.0,2.0,4.0
6,1950.0,Ralph Beard,G,22.0,INO,60.0,0.42200000000000004,0.301,3.6,1.2,4.8,340.0,936.0,0.363,340.0,936.0,0.363,0.363,215.0,282.0,0.762,233.0,132.0,895.0
7,1950.0,Gene Berce,G-F,23.0,TRI,3.0,0.275,0.313,-0.1,0.0,-0.1,5.0,16.0,0.313,5.0,16.0,0.313,0.313,0.0,5.0,0.0,2.0,6.0,10.0
8,1950.0,Charlie Black,F-C,28.0,TOT,65.0,0.34600000000000003,0.395,-2.2,5.0,2.8,226.0,813.0,0.278,226.0,813.0,0.278,0.278,209.0,321.0,0.6509999999999999,163.0,273.0,661.0
9,1950.0,Charlie Black,F-C,28.0,FTW,36.0,0.36200000000000004,0.48,-0.7,2.2,1.5,125.0,435.0,0.287,125.0,435.0,0.287,0.287,132.0,209.0,0.632,75.0,140.0,382.0
10,1950.0,Charlie Black,F-C,28.0,AND,29.0,0.326,0.29600000000000004,-1.5,2.8,1.3,101.0,378.0,0.267,101.0,378.0,0.267,0.267,77.0,112.0,0.688,88.0,133.0,279.0
11,1950.0,Nelson Bobb,PG,25.0,PHW,57.0,0.396,0.528,0.4,1.3,1.8,80.0,248.0,0.32299999999999995,80.0,248.0,0.32299999999999995,0.32299999999999995,82.0,131.0,0.626,46.0,97.0,242.0
12,1950.0,Jake Bornheimer,F-C,22.0,PHW,60.0,0.35600000000000004,0.384,-0.7,1.5,0.8,88.0,305.0,0.289,88.0,305.0,0.289,0.289,78.0,117.0,0.667,40.0,111.0,254.0
13,1950.0,Vince Boryla,SF,22.0,NYK,59.0,0.426,0.445,2.6,1.4,3.9,204.0,600.0,0.34,204.0,600.0,0.34,0.34,204.0,267.0,0.764,95.0,203.0,612.0
14,1950.0,Don Boven,F-G,24.0,WAT,62.0,0.461,0.625,4.4,-0.7,3.8,208.0,558.0,0.373,208.0,558.0,0.373,0.373,240.0,349.0,0.688,137.0,255.0,656.0
15,1950.0,Harry Boykoff,C,27.0,WAT,61.0,0.479,0.375,6.0,-0.7,5.3,288.0,698.0,0.413,288.0,698.0,0.413,0.413,203.0,262.0,0.775,149.0,229.0,779.0
16,1950.0,Joe Bradley,G,21.0,CHS,46.0,0.289,0.284,-1.0,0.7,-0.3,36.0,134.0,0.26899999999999996,36.0,134.0,0.26899999999999996,0.26899999999999996,15.0,38.0,0.395,36.0,51.0,87.0
17,1950.0,Bob Brannum,PF,24.0,SHE,59.0,0.408,0.494,2.1,-0.5,1.6,234.0,718.0,0.326,234.0,718.0,0.326,0.326,245.0,355.0,0.69,205.0,279.0,713.0
18,1950.0,Carl Braun,G-F,22.0,NYK,67.0,0.434,0.365,5.2,1.9,7.2,373.0,1024.0,0.364,373.0,1024.0,0.364,0.364,285.0,374.0,0.762,247.0,188.0,1031.0
19,1950.0,Frankie Brian,G,26.0,AND,64.0,0.415,0.42200000000000004,3.6,5.6,9.2,368.0,1156.0,0.318,368.0,1156.0,0.318,0.318,402.0,488.0,0.8240000000000001,189.0,192.0,1138.0
20,1950.0,Price Brookfield,F-G,29.0,ROC,7.0,0.5920000000000001,0.565,0.5,0.1,0.5,11.0,23.0,0.478,11.0,23.0,0.478,0.478,12.0,13.0,0.9229999999999999,1.0,7.0,34.0
21,1950.0,Bob Brown,F,26.0,DNN,62.0,0.414,0.33,2.1,-0.9,1.2,276.0,764.0,0.361,276.0,764.0,0.361,0.361,172.0,252.0,0.6829999999999999,101.0,269.0,724.0
22,1950.0,Jim Browne,C,20.0,DNN,31.0,0.392,0.563,0.1,-0.1,0.0,17.0,48.0,0.354,17.0,48.0,0.354,0.354,13.0,27.0,0.48100000000000004,8.0,16.0,47.0
23,1950.0,Walt Budko,PF,24.0,BLB,66.0,0.38799999999999996,0.40299999999999997,0.7,2.0,2.7,198.0,652.0,0.304,198.0,652.0,0.304,0.304,199.0,263.0,0.757,146.0,259.0,595.0
24,1950.0,Jack Burmaster,G,23.0,SHE,61.0,0.37799999999999995,0.256,0.1,-0.4,-0.4,237.0,711.0,0.33299999999999996,237.0,711.0,0.33299999999999996,0.33299999999999996,124.0,182.0,0.6809999999999999,179.0,237.0,598.0
25,1950.0,Tommy Byrnes,F-G,26.0,BLB,53.0,0.36200000000000004,0.312,-0.5,0.9,0.3,120.0,397.0,0.302,120.0,397.0,0.302,0.302,87.0,124.0,0.7020000000000001,88.0,76.0,327.0
26,1950.0,Bill Calhoun,SG,22.0,ROC,62.0,0.439,0.37,3.0,1.5,4.5,207.0,549.0,0.377,207.0,549.0,0.377,0.377,146.0,203.0,0.7190000000000001,115.0,100.0,560.0
27,1950.0,Don Carlson,G-F,30.0,MNL,57.0,0.402,0.32799999999999996,0.7,1.9,2.6,99.0,290.0,0.341,99.0,290.0,0.341,0.341,69.0,95.0,0.726,76.0,126.0,267.0
